Station Name,Region,Sub Region,State,Year,Total Days
HUNTSVILLE INTL/C.T.JONES FIELD AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2016,10
SHREVEPORT REGIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,LA,2016,10
CHARLESTON AFB/INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2016,9
MEMPHIS INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,TN,2016,9
RENO/TAHOE INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2016,9
SAN ANTONIO INTERNATIONAL AIRPORT,SOUTH,WEST SOUTH CENTRAL,TX,2016,9
BIRMINGHAM INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,AL,2016,8
GREENVILLE-SPARTANBURG INTL AIRPORT,SOUTH,SOUTH ATLANTIC,SC,2016,8
HARTSFIELD-JACKSON ATLANTA INTL AP,SOUTH,SOUTH ATLANTIC,GA,2016,7
MCCARRAN INTERNATIONAL AIRPORT,WEST,MOUNTAIN,NV,2016,7
SAVANNAH/HILTON HEAD INTL AIRPORT,SOUTH,SOUTH ATLANTIC,GA,2016,7
JACKSONVILLE INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2016,6
JACKSON INTERNATIONAL AIRPORT,SOUTH,EAST SOUTH CENTRAL,MS,2016,4
PENSACOLA REGIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2016,4
G BUSH INTERCONTINENTAL AP/HOUSTON AP,SOUTH,WEST SOUTH CENTRAL,TX,2016,3
ORLANDO INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2016,3
PHOENIX SKY HARBOR INTL AIRPORT,WEST,MOUNTAIN,AZ,2016,3
GULFPORT-BILOXI INTL ARPT,SOUTH,EAST SOUTH CENTRAL,MS,2016,2
LOUIS ARMSTRONG NEW ORLEANS INTL AP,SOUTH,WEST SOUTH CENTRAL,LA,2016,2
TAMPA INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2016,2
J. WAYNE APT-ORANGE CO APT,WEST,PACIFIC,CA,2016,1
LOS ANGELES INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2016,1
ONTARIO INTERNATIONAL ARPT,WEST,PACIFIC,CA,2016,1
SAN DIEGO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2016,1
SANTA BARBARA MUNICIPAL AIRPORT,WEST,PACIFIC,CA,2016,1
TUCSON INTERNATIONAL AIRPORT,WEST,MOUNTAIN,AZ,2016,1
FRESNO YOSEMITE INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2016,0
FT LAUD/HOLLYWOOD INTL APT,SOUTH,SOUTH ATLANTIC,FL,2016,0
HONOLULU INTERNATIONAL AIRPORT,WEST,PACIFIC,HI,2016,0
KAHULUI AIRPORT,WEST,PACIFIC,HI,2016,0
LIHUE AIRPORT,WEST,PACIFIC,HI,2016,0
MIAMI INTERNATIONAL AIRPORT,SOUTH,SOUTH ATLANTIC,FL,2016,0
SACRAMENTO INTL AIRPORT,WEST,PACIFIC,CA,2016,0
SAN FRANCISCO INTERNATIONAL AIRPORT,WEST,PACIFIC,CA,2016,0
DENVER INTERNATIONAL AIRPORT,WEST,MOUNTAIN,CO,2017,57
CITY OF COLORADO SPRINGS MUNICIPAL AP,WEST,MOUNTAIN,CO,2017,55
BURLINGTON INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,VT,2017,43
NATRONA COUNTY INTERNATIONAL AP,WEST,MOUNTAIN,WY,2017,43
PORTLAND INTERNATIONAL JETPORT AP,NORTHEAST,NEW ENGLAND,ME,2017,43
HECTOR INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,ND,2017,42
MANCHESTER AIRPORT,NORTHEAST,NEW ENGLAND,NH,2017,38
DES MOINES INTERNATIONAL AIRPORT,MIDWEST,WEST NORTH CENTRAL,IA,2017,35
GEN E L LOGAN INTERNATIONAL AIRPORT,NORTHEAST,NEW ENGLAND,MA,2017,35
THEODORE F GREEN STATE AIRPORT,NORTHEAST,NEW ENGLAND,RI,2017,35
BUFFALO NIAGARA INTERNATIONAL AP,NORTHEAST,MIDDLE ATLANTIC,NY,2017,34
